Year,Married Filing Jointly (Rates/Brackets),,Married Filing Jointly Salary,Married Filing Separately (Rates/Brackets),,Married Filing Separately Salary,Single Filer (Rates/Brackets),,Single Filer Salary,Head of Household (Rates/Brackets),,Head of Household Salary
1959,89.00%,>,"$200,000 ",89.00%,>,"$100,000 ",89.00%,>,"$100,000 ",80.00%,>,"$90,000 "
1959,90.00%,>,"$300,000 ",90.00%,>,"$150,000 ",90.00%,>,"$150,000 ",83.00%,>,"$100,000 "
1959,91.00%,>,"$400,000 ",91.00%,>,"$200,000 ",91.00%,>,"$200,000 ",87.00%,>,"$150,000 "
1959,,,,,,,,,,90.00%,>,"$200,000 "
1959,,,,,,,,,,91.00%,>,"$300,000 "
,,,,,,,,,,,,
1958,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 
1958,22.00%,>,"$4,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",21.00%,>,"$2,000 "
1958,26.00%,>,"$8,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",24.00%,>,"$4,000 "
1958,30.00%,>,"$12,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",26.00%,>,"$6,000 "
1958,34.00%,>,"$16,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",30.00%,>,"$8,000 "
1958,38.00%,>,"$20,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",32.00%,>,"$10,000 "
1958,43.00%,>,"$24,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",36.00%,>,"$12,000 "
1958,47.00%,>,"$28,000 ",47.00%,>,"$14,000 ",47.00%,>,"$14,000 ",39.00%,>,"$14,000 "
1958,50.00%,>,"$32,000 ",50.00%,>,"$16,000 ",50.00%,>,"$16,000 ",42.00%,>,"$16,000 "
1958,53.00%,>,"$36,000 ",53.00%,>,"$18,000 ",53.00%,>,"$18,000 ",43.00%,>,"$18,000 "
1958,56.00%,>,"$40,000 ",56.00%,>,"$20,000 ",56.00%,>,"$20,000 ",47.00%,>,"$20,000 "
1958,59.00%,>,"$44,000 ",59.00%,>,"$22,000 ",59.00%,>,"$22,000 ",49.00%,>,"$22,000 "
1958,62.00%,>,"$52,000 ",62.00%,>,"$26,000 ",62.00%,>,"$26,000 ",52.00%,>,"$24,000 "
1958,65.00%,>,"$64,000 ",65.00%,>,"$32,000 ",65.00%,>,"$32,000 ",54.00%,>,"$28,000 "
1958,69.00%,>,"$76,000 ",69.00%,>,"$38,000 ",69.00%,>,"$38,000 ",58.00%,>,"$32,000 "
1958,72.00%,>,"$88,000 ",72.00%,>,"$44,000 ",72.00%,>,"$44,000 ",62.00%,>,"$38,000 "
1958,75.00%,>,"$100,000 ",75.00%,>,"$50,000 ",75.00%,>,"$50,000 ",66.00%,>,"$44,000 "
1958,78.00%,>,"$120,000 ",78.00%,>,"$60,000 ",78.00%,>,"$60,000 ",68.00%,>,"$50,000 "
1958,81.00%,>,"$140,000 ",81.00%,>,"$70,000 ",81.00%,>,"$70,000 ",71.00%,>,"$60,000 "
1958,84.00%,>,"$160,000 ",84.00%,>,"$80,000 ",84.00%,>,"$80,000 ",74.00%,>,"$70,000 "
1958,87.00%,>,"$180,000 ",87.00%,>,"$90,000 ",87.00%,>,"$90,000 ",76.00%,>,"$80,000 "
1958,89.00%,>,"$200,000 ",89.00%,>,"$100,000 ",89.00%,>,"$100,000 ",80.00%,>,"$90,000 "
1958,90.00%,>,"$300,000 ",90.00%,>,"$150,000 ",90.00%,>,"$150,000 ",83.00%,>,"$100,000 "
1958,91.00%,>,"$400,000 ",91.00%,>,"$200,000 ",91.00%,>,"$200,000 ",87.00%,>,"$150,000 "
1958,,,,,,,,,,90.00%,>,"$200,000 "
1958,,,,,,,,,,91.00%,>,"$300,000 "
,,,,,,,,,,,,
1957,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 
1957,22.00%,>,"$4,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",21.00%,>,"$2,000 "
1957,26.00%,>,"$8,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",24.00%,>,"$4,000 "
1957,30.00%,>,"$12,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",26.00%,>,"$6,000 "
1957,34.00%,>,"$16,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",30.00%,>,"$8,000 "
1957,38.00%,>,"$20,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",32.00%,>,"$10,000 "
1957,43.00%,>,"$24,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",36.00%,>,"$12,000 "
1957,47.00%,>,"$28,000 ",47.00%,>,"$14,000 ",47.00%,>,"$14,000 ",39.00%,>,"$14,000 "
1957,50.00%,>,"$32,000 ",50.00%,>,"$16,000 ",50.00%,>,"$16,000 ",42.00%,>,"$16,000 "
1957,53.00%,>,"$36,000 ",53.00%,>,"$18,000 ",53.00%,>,"$18,000 ",43.00%,>,"$18,000 "
1957,56.00%,>,"$40,000 ",56.00%,>,"$20,000 ",56.00%,>,"$20,000 ",47.00%,>,"$20,000 "
1957,59.00%,>,"$44,000 ",59.00%,>,"$22,000 ",59.00%,>,"$22,000 ",49.00%,>,"$22,000 "
1957,62.00%,>,"$52,000 ",62.00%,>,"$26,000 ",62.00%,>,"$26,000 ",52.00%,>,"$24,000 "
1957,65.00%,>,"$64,000 ",65.00%,>,"$32,000 ",65.00%,>,"$32,000 ",54.00%,>,"$28,000 "
1957,69.00%,>,"$76,000 ",69.00%,>,"$38,000 ",69.00%,>,"$38,000 ",58.00%,>,"$32,000 "
1957,72.00%,>,"$88,000 ",72.00%,>,"$44,000 ",72.00%,>,"$44,000 ",62.00%,>,"$38,000 "
1957,75.00%,>,"$100,000 ",75.00%,>,"$50,000 ",75.00%,>,"$50,000 ",66.00%,>,"$44,000 "
1957,78.00%,>,"$120,000 ",78.00%,>,"$60,000 ",78.00%,>,"$60,000 ",68.00%,>,"$50,000 "
1957,81.00%,>,"$140,000 ",81.00%,>,"$70,000 ",81.00%,>,"$70,000 ",71.00%,>,"$60,000 "
1957,84.00%,>,"$160,000 ",84.00%,>,"$80,000 ",84.00%,>,"$80,000 ",74.00%,>,"$70,000 "
1957,87.00%,>,"$180,000 ",87.00%,>,"$90,000 ",87.00%,>,"$90,000 ",76.00%,>,"$80,000 "
1957,89.00%,>,"$200,000 ",89.00%,>,"$100,000 ",89.00%,>,"$100,000 ",80.00%,>,"$90,000 "
1957,90.00%,>,"$300,000 ",90.00%,>,"$150,000 ",90.00%,>,"$150,000 ",83.00%,>,"$100,000 "
1957,91.00%,>,"$400,000 ",91.00%,>,"$200,000 ",91.00%,>,"$200,000 ",87.00%,>,"$150,000 "
1957,,,,,,,,,,90.00%,>,"$200,000 "
1957,,,,,,,,,,91.00%,>,"$300,000 "
,,,,,,,,,,,,
1956,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 
1956,22.00%,>,"$4,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",21.00%,>,"$2,000 "
1956,26.00%,>,"$8,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",24.00%,>,"$4,000 "
1956,30.00%,>,"$12,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",26.00%,>,"$6,000 "
1956,34.00%,>,"$16,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",30.00%,>,"$8,000 "
1956,38.00%,>,"$20,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",32.00%,>,"$10,000 "
1956,43.00%,>,"$24,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",36.00%,>,"$12,000 "
1956,47.00%,>,"$28,000 ",47.00%,>,"$14,000 ",47.00%,>,"$14,000 ",39.00%,>,"$14,000 "
1956,50.00%,>,"$32,000 ",50.00%,>,"$16,000 ",50.00%,>,"$16,000 ",42.00%,>,"$16,000 "
1956,53.00%,>,"$36,000 ",53.00%,>,"$18,000 ",53.00%,>,"$18,000 ",43.00%,>,"$18,000 "
1956,56.00%,>,"$40,000 ",56.00%,>,"$20,000 ",56.00%,>,"$20,000 ",47.00%,>,"$20,000 "
1956,59.00%,>,"$44,000 ",59.00%,>,"$22,000 ",59.00%,>,"$22,000 ",49.00%,>,"$22,000 "
1956,62.00%,>,"$52,000 ",62.00%,>,"$26,000 ",62.00%,>,"$26,000 ",52.00%,>,"$24,000 "
1956,65.00%,>,"$64,000 ",65.00%,>,"$32,000 ",65.00%,>,"$32,000 ",54.00%,>,"$28,000 "
1956,69.00%,>,"$76,000 ",69.00%,>,"$38,000 ",69.00%,>,"$38,000 ",58.00%,>,"$32,000 "
1956,72.00%,>,"$88,000 ",72.00%,>,"$44,000 ",72.00%,>,"$44,000 ",62.00%,>,"$38,000 "
1956,75.00%,>,"$100,000 ",75.00%,>,"$50,000 ",75.00%,>,"$50,000 ",66.00%,>,"$44,000 "
1956,78.00%,>,"$120,000 ",78.00%,>,"$60,000 ",78.00%,>,"$60,000 ",68.00%,>,"$50,000 "
1956,81.00%,>,"$140,000 ",81.00%,>,"$70,000 ",81.00%,>,"$70,000 ",71.00%,>,"$60,000 "
1956,84.00%,>,"$160,000 ",84.00%,>,"$80,000 ",84.00%,>,"$80,000 ",74.00%,>,"$70,000 "
1956,87.00%,>,"$180,000 ",87.00%,>,"$90,000 ",87.00%,>,"$90,000 ",76.00%,>,"$80,000 "
1956,89.00%,>,"$200,000 ",89.00%,>,"$100,000 ",89.00%,>,"$100,000 ",80.00%,>,"$90,000 "
1956,90.00%,>,"$300,000 ",90.00%,>,"$150,000 ",90.00%,>,"$150,000 ",83.00%,>,"$100,000 "
1956,91.00%,>,"$400,000 ",91.00%,>,"$200,000 ",91.00%,>,"$200,000 ",87.00%,>,"$150,000 "
1956,,,,,,,,,,90.00%,>,"$200,000 "
1956,,,,,,,,,,91.00%,>,"$300,000 "
,,,,,,,,,,,,
1955,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 
1955,22.00%,>,"$4,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",21.00%,>,"$2,000 "
1955,26.00%,>,"$8,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",24.00%,>,"$4,000 "
1955,30.00%,>,"$12,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",26.00%,>,"$6,000 "
1955,34.00%,>,"$16,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",30.00%,>,"$8,000 "
1955,38.00%,>,"$20,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",32.00%,>,"$10,000 "
1955,43.00%,>,"$24,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",36.00%,>,"$12,000 "
1955,47.00%,>,"$28,000 ",47.00%,>,"$14,000 ",47.00%,>,"$14,000 ",39.00%,>,"$14,000 "
1955,50.00%,>,"$32,000 ",50.00%,>,"$16,000 ",50.00%,>,"$16,000 ",42.00%,>,"$16,000 "
1955,53.00%,>,"$36,000 ",53.00%,>,"$18,000 ",53.00%,>,"$18,000 ",43.00%,>,"$18,000 "
1955,56.00%,>,"$40,000 ",56.00%,>,"$20,000 ",56.00%,>,"$20,000 ",47.00%,>,"$20,000 "
1955,59.00%,>,"$44,000 ",59.00%,>,"$22,000 ",59.00%,>,"$22,000 ",49.00%,>,"$22,000 "
1955,62.00%,>,"$52,000 ",62.00%,>,"$26,000 ",62.00%,>,"$26,000 ",52.00%,>,"$24,000 "
1955,65.00%,>,"$64,000 ",65.00%,>,"$32,000 ",65.00%,>,"$32,000 ",54.00%,>,"$28,000 "
1955,69.00%,>,"$76,000 ",69.00%,>,"$38,000 ",69.00%,>,"$38,000 ",58.00%,>,"$32,000 "
1955,72.00%,>,"$88,000 ",72.00%,>,"$44,000 ",72.00%,>,"$44,000 ",62.00%,>,"$38,000 "
1955,75.00%,>,"$100,000 ",75.00%,>,"$50,000 ",75.00%,>,"$50,000 ",66.00%,>,"$44,000 "
1955,78.00%,>,"$120,000 ",78.00%,>,"$60,000 ",78.00%,>,"$60,000 ",68.00%,>,"$50,000 "
1955,81.00%,>,"$140,000 ",81.00%,>,"$70,000 ",81.00%,>,"$70,000 ",71.00%,>,"$60,000 "
1955,84.00%,>,"$160,000 ",84.00%,>,"$80,000 ",84.00%,>,"$80,000 ",74.00%,>,"$70,000 "
1955,87.00%,>,"$180,000 ",87.00%,>,"$90,000 ",87.00%,>,"$90,000 ",76.00%,>,"$80,000 "
1955,89.00%,>,"$200,000 ",89.00%,>,"$100,000 ",89.00%,>,"$100,000 ",80.00%,>,"$90,000 "
1955,90.00%,>,"$300,000 ",90.00%,>,"$150,000 ",90.00%,>,"$150,000 ",83.00%,>,"$100,000 "
1955,91.00%,>,"$400,000 ",91.00%,>,"$200,000 ",91.00%,>,"$200,000 ",87.00%,>,"$150,000 "
1955,,,,,,,,,,90.00%,>,"$200,000 "
1955,,,,,,,,,,91.00%,>,"$300,000 "
,,,,,,,,,,,,
1954,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 
1954,22.00%,>,"$4,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",21.00%,>,"$2,000 "
1954,26.00%,>,"$8,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",24.00%,>,"$4,000 "
1954,30.00%,>,"$12,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",26.00%,>,"$6,000 "
1954,34.00%,>,"$16,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",30.00%,>,"$8,000 "
1954,38.00%,>,"$20,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",32.00%,>,"$10,000 "
1954,43.00%,>,"$24,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",36.00%,>,"$12,000 "
1954,47.00%,>,"$28,000 ",47.00%,>,"$14,000 ",47.00%,>,"$14,000 ",39.00%,>,"$14,000 "
1954,50.00%,>,"$32,000 ",50.00%,>,"$16,000 ",50.00%,>,"$16,000 ",42.00%,>,"$16,000 "
1954,53.00%,>,"$36,000 ",53.00%,>,"$18,000 ",53.00%,>,"$18,000 ",43.00%,>,"$18,000 "
1954,56.00%,>,"$40,000 ",56.00%,>,"$20,000 ",56.00%,>,"$20,000 ",47.00%,>,"$20,000 "
1954,59.00%,>,"$44,000 ",59.00%,>,"$22,000 ",59.00%,>,"$22,000 ",49.00%,>,"$22,000 "
1954,62.00%,>,"$52,000 ",62.00%,>,"$26,000 ",62.00%,>,"$26,000 ",52.00%,>,"$24,000 "
1954,65.00%,>,"$64,000 ",65.00%,>,"$32,000 ",65.00%,>,"$32,000 ",54.00%,>,"$28,000 "
1954,69.00%,>,"$76,000 ",69.00%,>,"$38,000 ",69.00%,>,"$38,000 ",58.00%,>,"$32,000 "
1954,72.00%,>,"$88,000 ",72.00%,>,"$44,000 ",72.00%,>,"$44,000 ",62.00%,>,"$38,000 "
1954,75.00%,>,"$100,000 ",75.00%,>,"$50,000 ",75.00%,>,"$50,000 ",66.00%,>,"$44,000 "
1954,78.00%,>,"$120,000 ",78.00%,>,"$60,000 ",78.00%,>,"$60,000 ",68.00%,>,"$50,000 "
1954,81.00%,>,"$140,000 ",81.00%,>,"$70,000 ",81.00%,>,"$70,000 ",71.00%,>,"$60,000 "
1954,84.00%,>,"$160,000 ",84.00%,>,"$80,000 ",84.00%,>,"$80,000 ",74.00%,>,"$70,000 "
1954,87.00%,>,"$180,000 ",87.00%,>,"$90,000 ",87.00%,>,"$90,000 ",76.00%,>,"$80,000 "
1954,89.00%,>,"$200,000 ",89.00%,>,"$100,000 ",89.00%,>,"$100,000 ",80.00%,>,"$90,000 "
1954,90.00%,>,"$300,000 ",90.00%,>,"$150,000 ",90.00%,>,"$150,000 ",83.00%,>,"$100,000 "
1954,91.00%,>,"$400,000 ",91.00%,>,"$200,000 ",91.00%,>,"$200,000 ",87.00%,>,"$150,000 "
1954,,,,,,,,,,90.00%,>,"$200,000 "
1954,,,,,,,,,,91.00%,>,"$300,000 "
,,,,,,,,,,,,
1953,22.20%,>,$0 ,22.20%,>,$0 ,22.20%,>,$0 ,22.20%,>,$0 
1953,24.60%,>,"$4,000 ",24.60%,>,"$2,000 ",24.60%,>,"$2,000 ",23.40%,>,"$2,000 "
1953,29.00%,>,"$8,000 ",29.00%,>,"$4,000 ",29.00%,>,"$4,000 ",27.00%,>,"$4,000 "
1953,34.00%,>,"$12,000 ",34.00%,>,"$6,000 ",34.00%,>,"$6,000 ",29.00%,>,"$6,000 "
1953,38.00%,>,"$16,000 ",38.00%,>,"$8,000 ",38.00%,>,"$8,000 ",34.00%,>,"$8,000 "
1953,42.00%,>,"$20,000 ",42.00%,>,"$10,000 ",42.00%,>,"$10,000 ",35.00%,>,"$10,000 "
1953,48.00%,>,"$24,000 ",48.00%,>,"$12,000 ",48.00%,>,"$12,000 ",41.00%,>,"$12,000 "
1953,53.00%,>,"$28,000 ",53.00%,>,"$14,000 ",53.00%,>,"$14,000 ",44.00%,>,"$14,000 "
1953,56.00%,>,"$32,000 ",56.00%,>,"$16,000 ",56.00%,>,"$16,000 ",47.00%,>,"$16,000 "
1953,59.00%,>,"$36,000 ",59.00%,>,"$18,000 ",59.00%,>,"$18,000 ",48.00%,>,"$18,000 "
1953,62.00%,>,"$40,000 ",62.00%,>,"$20,000 ",62.00%,>,"$20,000 ",52.00%,>,"$20,000 "
1953,66.00%,>,"$44,000 ",66.00%,>,"$22,000 ",66.00%,>,"$22,000 ",54.00%,>,"$22,000 "
1953,67.00%,>,"$52,000 ",67.00%,>,"$26,000 ",67.00%,>,"$26,000 ",57.00%,>,"$24,000 "
1953,68.00%,>,"$64,000 ",68.00%,>,"$32,000 ",68.00%,>,"$32,000 ",60.00%,>,"$28,000 "
1953,72.00%,>,"$76,000 ",72.00%,>,"$38,000 ",72.00%,>,"$38,000 ",63.00%,>,"$32,000 "
1953,75.00%,>,"$88,000 ",75.00%,>,"$44,000 ",75.00%,>,"$44,000 ",66.00%,>,"$38,000 "
1953,77.00%,>,"$100,000 ",77.00%,>,"$50,000 ",77.00%,>,"$50,000 ",71.00%,>,"$44,000 "
1953,80.00%,>,"$120,000 ",80.00%,>,"$60,000 ",80.00%,>,"$60,000 ",72.00%,>,"$50,000 "
1953,83.00%,>,"$140,000 ",83.00%,>,"$70,000 ",83.00%,>,"$70,000 ",73.00%,>,"$60,000 "
1953,85.00%,>,"$160,000 ",85.00%,>,"$80,000 ",85.00%,>,"$80,000 ",77.00%,>,"$70,000 "
1953,88.00%,>,"$180,000 ",88.00%,>,"$90,000 ",88.00%,>,"$90,000 ",79.00%,>,"$80,000 "
1953,90.00%,>,"$200,000 ",90.00%,>,"$100,000 ",90.00%,>,"$100,000 ",81.00%,>,"$90,000 "
1953,91.00%,>,"$300,000 ",91.00%,>,"$150,000 ",91.00%,>,"$150,000 ",85.00%,>,"$100,000 "
1953,92.00%,>,"$400,000 ",92.00%,>,"$200,000 ",92.00%,>,"$200,000 ",88.00%,>,"$150,000 "
1953,,,,,,,,,,91.00%,>,"$200,000 "
1953,,,,,,,,,,92.00%,>,"$300,000 "
,,,,,,,,,,,,
1952,22.20%,>,$0 ,22.20%,>,$0 ,22.20%,>,$0 ,22.20%,>,$0 
1952,24.60%,>,"$4,000 ",24.60%,>,"$2,000 ",24.60%,>,"$2,000 ",23.40%,>,"$2,000 "
1952,29.00%,>,"$8,000 ",29.00%,>,"$4,000 ",29.00%,>,"$4,000 ",27.00%,>,"$4,000 "
1952,34.00%,>,"$12,000 ",34.00%,>,"$6,000 ",34.00%,>,"$6,000 ",29.00%,>,"$6,000 "
1952,38.00%,>,"$16,000 ",38.00%,>,"$8,000 ",38.00%,>,"$8,000 ",34.00%,>,"$8,000 "
1952,42.00%,>,"$20,000 ",42.00%,>,"$10,000 ",42.00%,>,"$10,000 ",35.00%,>,"$10,000 "
1952,48.00%,>,"$24,000 ",48.00%,>,"$12,000 ",48.00%,>,"$12,000 ",41.00%,>,"$12,000 "
1952,53.00%,>,"$28,000 ",53.00%,>,"$14,000 ",53.00%,>,"$14,000 ",44.00%,>,"$14,000 "
1952,56.00%,>,"$32,000 ",56.00%,>,"$16,000 ",56.00%,>,"$16,000 ",47.00%,>,"$16,000 "
1952,59.00%,>,"$36,000 ",59.00%,>,"$18,000 ",59.00%,>,"$18,000 ",48.00%,>,"$18,000 "
1952,62.00%,>,"$40,000 ",62.00%,>,"$20,000 ",62.00%,>,"$20,000 ",52.00%,>,"$20,000 "
1952,66.00%,>,"$44,000 ",66.00%,>,"$22,000 ",66.00%,>,"$22,000 ",54.00%,>,"$22,000 "
1952,67.00%,>,"$52,000 ",67.00%,>,"$26,000 ",67.00%,>,"$26,000 ",57.00%,>,"$24,000 "
1952,68.00%,>,"$64,000 ",68.00%,>,"$32,000 ",68.00%,>,"$32,000 ",60.00%,>,"$28,000 "
1952,72.00%,>,"$76,000 ",72.00%,>,"$38,000 ",72.00%,>,"$38,000 ",63.00%,>,"$32,000 "
1952,75.00%,>,"$88,000 ",75.00%,>,"$44,000 ",75.00%,>,"$44,000 ",66.00%,>,"$38,000 "
1952,77.00%,>,"$100,000 ",77.00%,>,"$50,000 ",77.00%,>,"$50,000 ",71.00%,>,"$44,000 "
1952,80.00%,>,"$120,000 ",80.00%,>,"$60,000 ",80.00%,>,"$60,000 ",72.00%,>,"$50,000 "
1952,83.00%,>,"$140,000 ",83.00%,>,"$70,000 ",83.00%,>,"$70,000 ",73.00%,>,"$60,000 "
1952,85.00%,>,"$160,000 ",85.00%,>,"$80,000 ",85.00%,>,"$80,000 ",77.00%,>,"$70,000 "
1952,88.00%,>,"$180,000 ",88.00%,>,"$90,000 ",88.00%,>,"$90,000 ",79.00%,>,"$80,000 "
1952,90.00%,>,"$200,000 ",90.00%,>,"$100,000 ",90.00%,>,"$100,000 ",81.00%,>,"$90,000 "
1952,91.00%,>,"$300,000 ",91.00%,>,"$150,000 ",91.00%,>,"$150,000 ",85.00%,>,"$100,000 "
1952,92.00%,>,"$400,000 ",92.00%,>,"$200,000 ",92.00%,>,"$200,000 ",88.00%,>,"$150,000 "
1952,,,,,,,,,,91.00%,>,"$200,000 "
1952,,,,,,,,,,92.00%,>,"$300,000 "
,,,,,,,,,,,,
1951,20.40%,>,$0 ,20.40%,>,$0 ,20.40%,>,$0 ,20.40%,>,$0 
1951,22.40%,>,"$4,000 ",22.40%,>,"$2,000 ",22.40%,>,"$2,000 ",22.40%,>,"$2,000 "
1951,27.00%,>,"$8,000 ",27.00%,>,"$4,000 ",27.00%,>,"$4,000 ",27.00%,>,"$4,000 "
1951,30.00%,>,"$12,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 "
1951,35.00%,>,"$16,000 ",35.00%,>,"$8,000 ",35.00%,>,"$8,000 ",35.00%,>,"$8,000 "
1951,39.00%,>,"$20,000 ",39.00%,>,"$10,000 ",39.00%,>,"$10,000 ",39.00%,>,"$10,000 "
1951,43.00%,>,"$24,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 "
1951,48.00%,>,"$28,000 ",48.00%,>,"$14,000 ",48.00%,>,"$14,000 ",48.00%,>,"$14,000 "
1951,51.00%,>,"$32,000 ",51.00%,>,"$16,000 ",51.00%,>,"$16,000 ",51.00%,>,"$16,000 "
1951,54.00%,>,"$36,000 ",54.00%,>,"$18,000 ",54.00%,>,"$18,000 ",54.00%,>,"$18,000 "
1951,57.00%,>,"$40,000 ",57.00%,>,"$20,000 ",57.00%,>,"$20,000 ",57.00%,>,"$20,000 "
1951,60.00%,>,"$44,000 ",60.00%,>,"$22,000 ",60.00%,>,"$22,000 ",60.00%,>,"$22,000 "
1951,63.00%,>,"$52,000 ",63.00%,>,"$26,000 ",63.00%,>,"$26,000 ",63.00%,>,"$26,000 "
1951,66.00%,>,"$64,000 ",66.00%,>,"$32,000 ",66.00%,>,"$32,000 ",66.00%,>,"$32,000 "
1951,69.00%,>,"$76,000 ",69.00%,>,"$38,000 ",69.00%,>,"$38,000 ",69.00%,>,"$38,000 "
1951,73.00%,>,"$88,000 ",73.00%,>,"$44,000 ",73.00%,>,"$44,000 ",73.00%,>,"$44,000 "
1951,75.00%,>,"$100,000 ",75.00%,>,"$50,000 ",75.00%,>,"$50,000 ",75.00%,>,"$50,000 "
1951,78.00%,>,"$120,000 ",78.00%,>,"$60,000 ",78.00%,>,"$60,000 ",78.00%,>,"$60,000 "
1951,82.00%,>,"$140,000 ",82.00%,>,"$70,000 ",82.00%,>,"$70,000 ",82.00%,>,"$70,000 "
1951,84.00%,>,"$160,000 ",84.00%,>,"$80,000 ",84.00%,>,"$80,000 ",84.00%,>,"$80,000 "
1951,87.00%,>,"$180,000 ",87.00%,>,"$90,000 ",87.00%,>,"$90,000 ",87.00%,>,"$90,000 "
1951,89.00%,>,"$200,000 ",89.00%,>,"$100,000 ",89.00%,>,"$100,000 ",89.00%,>,"$100,000 "
1951,90.00%,>,"$300,000 ",90.00%,>,"$150,000 ",90.00%,>,"$150,000 ",90.00%,>,"$150,000 "
1951,91.00%,>,"$400,000 ",91.00%,>,"$200,000 ",91.00%,>,"$200,000 ",91.00%,>,"$200,000 "
,,,,,,,,,,,,
1950,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 ,20.00%,>,$0 
1950,22.00%,>,"$4,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 ",22.00%,>,"$2,000 "
1950,26.00%,>,"$8,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 ",26.00%,>,"$4,000 "
1950,30.00%,>,"$12,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 ",30.00%,>,"$6,000 "
1950,34.00%,>,"$16,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 ",34.00%,>,"$8,000 "
1950,38.00%,>,"$20,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 ",38.00%,>,"$10,000 "
1950,43.00%,>,"$24,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 ",43.00%,>,"$12,000 "
1950,47.00%,>,"$28,000 ",47.00%,>,"$14,000 ",47.00%,>,"$14,000 ",47.00%,>,"$14,000 "
1950,50.00%,>,"$32,000 ",50.00%,>,"$16,000 ",50.00%,>,"$16,000 ",50.00%,>,"$16,000 "
1950,53.00%,>,"$36,000 ",53.00%,>,"$18,000 ",53.00%,>,"$18,000 ",53.00%,>,"$18,000 "
1950,56.00%,>,"$40,000 ",56.00%,>,"$20,000 ",56.00%,>,"$20,000 ",56.00%,>,"$20,000 "
1950,59.00%,>,"$44,000 ",59.00%,>,"$22,000 ",59.00%,>,"$22,000 ",59.00%,>,"$22,000 "
1950,62.00%,>,"$52,000 ",62.00%,>,"$26,000 ",62.00%,>,"$26,000 ",62.00%,>,"$26,000 "
1950,65.00%,>,"$64,000 ",65.00%,>,"$32,000 ",65.00%,>,"$32,000 ",65.00%,>,"$32,000 "
1950,69.00%,>,"$76,000 ",69.00%,>,"$38,000 ",69.00%,>,"$38,000 ",69.00%,>,"$38,000 "
1950,72.00%,>,"$88,000 ",72.00%,>,"$44,000 ",72.00%,>,"$44,000 ",72.00%,>,"$44,000 "
1950,75.00%,>,"$100,000 ",75.00%,>,"$50,000 ",75.00%,>,"$50,000 ",75.00%,>,"$50,000 "
1950,78.00%,>,"$120,000 ",78.00%,>,"$60,000 ",78.00%,>,"$60,000 ",78.00%,>,"$60,000 "
